t,o,h,l,c,v,g1.ADX
1663509600000,19955.7,19955.7,19707.0,19800.1,39878.03,34.21943913525691
1663513200000,19800.1,19865.1,19760.2,19804.5,19630.2,35.632005460569616
1663516800000,19804.4,19869.9,19621.2,19739.8,47742.798,37.4941204167397
1663520400000,19739.8,19759.1,19601.0,19626.4,30995.303,39.12238976488442
1663524000000,19626.3,19713.0,19556.7,19630.0,30542.409,40.783127697006
1663527600000,19630.0,19737.5,19590.2,19715.6,16501.23,42.71851609778208
1663531200000,19715.5,19742.5,19663.0,19714.0,11034.861,44.63126294395016
1663534800000,19714.0,19714.0,19390.0,19451.4,48747.023,46.95706531027168
1663538400000,19451.3,19470.1,19325.8,19435.4,34866.35,49.39987983160031
1663542000000,19435.5,19516.1,19368.6,19404.5,19575.068,50.762733739329825
1663545600000,19404.5,19507.0,19381.2,19449.0,16273.331,51.89272501193128
1663549200000,19448.9,19489.4,19384.8,19437.8,10274.645,52.942002622204065
1663552800000,19437.7,19467.0,18655.0,18754.9,106739.627,55.61410512773811
1663556400000,18755.0,18821.6,18683.9,18766.2,30402.186,58.095343168591135
1663560000000,18766.2,18863.9,18757.0,18804.5,20581.511,59.87636183885819
1663563600000,18804.4,18823.9,18281.6,18448.4,46728.296,61.83937031052052
1663567200000,18448.3,18559.9,18215.0,18464.4,74204.829,63.625668209204
1663570800000,18464.5,18498.9,18380.5,18459.6,34037.644,65.27365852332187
1663574400000,18459.7,18516.2,18401.0,18406.4,18989.645,66.64752356093742
1663578000000,18406.3,18464.3,18360.0,18449.9,19575.39,68.13242197294846
1663581600000,18449.9,18773.2,18428.1,18766.0,49451.771,67.54046317409878
1663585200000,18765.9,18788.0,18608.3,18672.6,32752.813,66.46374206973488
1663588800000,18672.6,18863.2,18665.0,18806.6,30783.825,64.89333705510055
1663592400000,18806.6,19174.8,18727.9,19095.9,71528.375,62.119171511453665
1663596000000,19095.8,19424.4,19008.0,19295.4,99950.126,58.579653289115086
1663599600000,19295.4,19340.4,19044.7,19071.1,55582.042,55.292957796943554
1663603200000,19071.1,19224.7,19053.9,19198.6,26767.48,53.28973005353016
1663606800000,19198.5,19208.5,18920.0,18956.4,33916.944,50.72877575815165
1663610400000,18956.3,19159.1,18868.2,19147.9,35314.947,47.95903112925179
1663614000000,19147.8,19572.1,19143.4,19504.7,73576.51,49.18767634462266
1663617600000,19504.7,19650.0,19408.0,19509.9,39741.432,50.90646642451581
1663621200000,19510.0,19686.3,19476.8,19509.9,27743.451,52.54254644197733
1663624800000,19509.8,19669.6,19455.0,19594.6,23434.319,53.88719805942897
1663628400000,19594.5,19625.6,19506.4,19528.6,15425.213,55.43192211995359
1663632000000,19528.6,19625.0,19427.2,19509.9,27872.547,55.819837664580284
1663635600000,19510.0,19513.0,19366.1,19455.6,17492.633,55.68816680850328
1663639200000,19455.7,19479.9,19402.3,19461.1,9308.973,55.393771620289705
1663642800000,19461.0,19463.8,19148.4,19353.7,37633.58,52.344374543831385
1663646400000,19353.8,19354.0,19255.6,19325.0,14373.303,49.07687239746063
1663650000000,19325.0,19424.2,19311.2,19361.7,15041.433,45.59699596085966
1663653600000,19361.7,19393.9,19295.4,19373.0,11509.496,42.45824318915307
1663657200000,19373.0,19581.5,19223.0,19349.9,52799.041,41.12254538337396
1663660800000,19349.9,19417.6,19280.0,19295.0,23358.438,40.258574709563895
1663664400000,19295.0,19316.4,19148.2,19222.5,27945.163,38.84573630958619
1663668000000,19222.6,19309.9,19170.2,19301.7,21114.361,38.31541534881636
1663671600000,19301.8,19336.0,19190.1,19209.6,22780.527,37.93595352765145
1663675200000,19209.6,19219.9,19045.0,19117.2,45951.113,38.19139648451738
1663678800000,19117.3,19127.3,18759.7,18911.8,100249.511,39.37748192333582
1663682400000,18911.8,19105.8,18860.1,19061.3,53829.066,40.26156246934812
1663686000000,19061.4,19256.9,18980.7,19225.6,50348.216,39.62348225710803
1663689600000,19225.7,19316.7,18958.7,19090.2,52017.527,38.60815561902075
1663693200000,19090.2,19102.4,18690.1,18756.8,65138.619,37.72373955332422
1663696800000,18756.8,19003.1,18745.8,18962.5,48125.654,36.90249606374888
1663700400000,18962.5,19092.9,18945.7,18985.2,30429.98,36.01006942667727
1663704000000,18985.3,19066.7,18931.2,18962.9,15917.794,35.176225227880614
1663707600000,18963.0,19087.5,18868.5,18870.2,19312.572,36.025662793745106
1663711200000,18870.2,18959.9,18828.0,18953.2,15350.254,36.93449501468676
